cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
110,Fes,2026-05-05 00:54:35.361820,34.0181,-5.0078,14.95,14.51,77.0,1017.0,3.09,300.0,75.0,Clouds,broken clouds,1.0,2.46,4.28,2.16,53.07,0.35,97.85,0.0,1.0,5.0,5.0,2
110,Marrakech,2026-05-05 00:54:32.082462,31.6295,-7.9811,17.98,17.48,63.0,1016.0,2.06,40.0,20.0,Clouds,few clouds,2.0,5.95,15.43,1.75,75.79,0.89,103.45,0.0,1.0,5.0,5.0,3
110,Rabat,2026-05-05 00:54:07.710421,34.0209,-6.8416,10.37,9.89,93.0,1018.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,2.12,5.02,2.26,92.97,3.28,116.02,0.0,1.0,5.0,5.0,4
110,Tanger,2026-05-05 00:54:38.637911,35.7595,-5.834,15.74,15.38,77.0,1017.0,3.09,260.0,20.0,Clouds,few clouds,3.0,1.53,4.74,1.15,102.84,0.89,116.69,0.0,1.0,5.0,5.0,5
111,Agadir,2026-05-05 01:55:02.654667,30.4278,-9.5981,15.06,14.76,82.0,1013.0,3.32,104.0,1.0,Clear,clear sky,2.0,2.52,9.44,0.28,95.11,0.74,115.07,1.0,1.0,5.0,5.0,0
111,Casablanca,2026-05-05 01:54:44.648978,33.5731,-7.5898,16.84,16.22,63.0,1017.0,2.57,70.0,64.0,Clouds,broken clouds,2.0,2.77,8.9,1.77,91.04,2.9,115.71,1.0,1.0,5.0,5.0,1
111,Fes,2026-05-05 01:54:55.482224,34.0181,-5.0078,14.95,14.25,67.0,1017.0,2.57,280.0,75.0,Clouds,broken clouds,1.0,2.46,4.38,1.96,49.76,0.29,97.0,1.0,1.0,5.0,5.0,2
111,Marrakech,2026-05-05 01:54:51.794932,31.6295,-7.9811,16.98,16.48,67.0,1015.0,2.06,30.0,20.0,Clouds,few clouds,2.0,5.91,15.23,1.61,72.8,0.81,102.67,1.0,1.0,5.0,5.0,3
111,Rabat,2026-05-05 01:54:48.264359,34.0209,-6.8416,9.37,9.37,100.0,1017.0,0.0,0.0,40.0,Clouds,scattered clouds,2.0,2.22,5.25,2.09,92.68,3.17,115.6,1.0,1.0,5.0,5.0,4
111,Tanger,2026-05-05 01:54:58.963060,35.7595,-5.834,15.74,15.38,77.0,1016.0,2.57,250.0,20.0,Clouds,few clouds,3.0,1.57,5.09,1.03,101.14,0.92,115.52,1.0,1.0,5.0,5.0,5
112,Agadir,2026-05-05 09:03:30.031871,30.4278,-9.5981,17.06,16.94,81.0,1014.0,3.49,105.0,97.0,Clouds,overcast clouds,2.0,3.34,11.94,0.61,90.78,0.9,115.74,9.0,1.0,5.0,5.0,0
112,Casablanca,2026-05-05 09:03:13.831370,33.5731,-7.5898,16.84,16.22,63.0,1016.0,1.54,120.0,75.0,Clouds,broken clouds,2.0,3.92,11.43,2.43,89.73,2.83,115.77,9.0,1.0,5.0,5.0,1
112,Fes,2026-05-05 09:03:23.482886,34.0181,-5.0078,13.95,13.39,76.0,1016.0,2.06,310.0,75.0,Clouds,broken clouds,1.0,2.96,5.21,1.68,37.73,0.2,96.22,9.0,1.0,5.0,5.0,2
112,Marrakech,2026-05-05 09:03:20.225311,31.6295,-7.9811,15.98,15.51,72.0,1015.0,2.06,260.0,0.0,Clear,clear sky,2.0,6.65,15.63,3.96,72.21,1.15,106.23,9.0,1.0,5.0,5.0,3
